text,topic,question
Yes the molecular geometry is linear. When an atom is bonded to only one other atom the molecular geometry is always linear. The electron pair geometry of the oxygen is trigonal planar. The electron pair geometry is the shape of a molecule when bonded and non-bonded electron pairs are considered equal.,Oxygen,Is the oxygen and the hydrogen just linear?
"The type of solute doesn't matter. What matters is osmolarity, which is a measure of the total amount of particles dissolved per liter. Water will want to go from an area of low osmolrity to a level of high, regardless of what types of particles are involved.",Solution (chemistry),"Is osmosis irrespective of the nature of the type of solutes, and instead only respective of the ratio of solvent to that which is not solvent?"
"Bacteria attack plants but plant cells have a different defense mechanism. They have proteins which defend the plant from being infected. A pathogen attacks a plant cell, then the proteins try to prevent the pathogen from entering the plant cell.",Bacteria,How do the plants defend themselves from bacteria?
"Microtubules and their associated proteins are somewhat self-organizing. microtubules can form spindle like structures in vitro without a centrosome. All eukaryotic cells have microtubule organizing centers in animals cells centrosomes are one kind of MTOC, but plant cells have microtubule organizing centers without needing centrioles.",Microtubule,How do plant cells organize their microtubules?
"If there is no chance for the fluid to get beneath the cone, the cone might stay in place. But I've seen a video on which a screwdriver floats in mid air just because the air pressure is decreased at the right spot above the screwdriver. Of course things are a bit different with gasses and fluids.",Cone,If the density of the fluid is greater than the cone then who will provide the force to float?
"Hypertonic solutions contain more solutes than isotonic solutions, which are basically 'neutral' solutions. So in order to even out the solutes (not the solvent), the solvent will move across the semipermeable membrane so that the solutes have more room to spread out. That's what osmosis is all about: spreading the solutes out by moving the solvent. If the water molecules from the hypertonic area flowed into the hypotonic area, it might maintain the balance of the solvent. However, the solutes would be even more concentrated in the hypertonic solution, and even less concentrated in the hypotonic solution, causing this situation to become something other than osmosis because the solutes were not evened out. The solvent was moved, but the solutes were more concentrated (hypertonic solution) or less concentrated (hypotonic solution); if this was really osmosis, the concentration of solutes should have been equal on both sides of the semipermeable membrane.",Tonicity,Shouldn't water molecules from the hypertonic area flow out to the hypotonic area in order to maintain the balance?
"Gravity doesn't keep the earth rotating. Inertia does. The earth is constantly being pulled toward the sun by gravity. This bends the path of the earth into a circle instead of a straight line. The earth is falling toward the sun but it is moving sideways so fast that it never gets any closer to the sun, it just goes around in a circle. That's what an orbit is",Earth,What keeps the Earth from being pulled completely into the sun?
ADP stands for Adenosine diphosphate. ATP stands for Adenosine triphosphate. Loss of an inorganic phosphate (Pi) from ATP results in ADP. ADP is basically the energy released from the breaking of the molecular bond which is the energy humans use to keep humans alive,Adenosine diphosphate,Then what's ADP?
"Straight-chain alkanes are able to pack and layer each other better than their branched counterparts. This allows greater intermolecular forces, which raises the melting point since it will take more energy to disperse the molecules into a liquid. Similarly, even-numbered alkanes stack better than odd-numbered alkanes, and will therefore have higher melting points.",Melting point,Why are alkanes' melting points like this?
"You would have two half reactions; an oxidation half reaction and a reduction half reaction. Remember: oxidation is losing electrons, reduction is gaining electrons. So the half reaction that has some element or compound plus electrons on the REACTANTS side would be the reduction reaction. The half reaction with some element or compound plus electrons on the PRODUCTS side is the oxidation reaction.",Redox,How do you know which is oxidation and reduction?
"Rest of organelles are around the nucleus and the mitotic spindle. Kinetochore makes sure chromosomes attach to the mitotic spindle. regardless of the nucleus, centrosome and centriole make sure that mitosis proceeds as expected.",Organelle,How does the cell make sure to rapidly attach those chromosomes to the mitotic spindle so they don't float freely or mingle with organelles?
"Rest of organelles are around the nucleus and the mitotic spindle. Kinetochore makes sure chromosomes attach to the mitotic spindle. regardless of the nucleus, centrosome and centriole make sure that mitosis proceeds as expected.",Organelle,What happens to the rest of the organelles?
"Some inhibitors change the chemistry or physics of the enzyme enough that the enzyme is altered, including the active site, to the point that the substrate no longer fits.",Active site,The substrate can bind to the active site?
"The stability of an atom is dependent on the nucleus itself, not on the electrons. Also, metals make such good conductors because they have a relatively weak grip on their valence electrons. Therefore, by providing a voltage, it is easy to take electrons from the outer shell and get them to flow.",Atom,Would not the atoms become unstable?
"The molecules can't get out of the way fast enough when you hit the water from a height without diving into it, so they exert a force that your body perceives as pain. It' not the surface tension as such, but the hydrogen bonds that hold the molecules together in the liquid.",Surface tension,Is surface tension responsible for the pain felt by a person?
"Secondary succession is when species recolonize the habitat. I do not think that during winter species are _wiped off_ the forest. they do change their behavior action and plant are hidden under the snow, but it does not mean they disappear. If you consider swallow migration to South and then returning to North in the spring, only in that case your definition can apply. Those are migrations and cyclic changes that happen every year regularly (under just one year span) so I am not sure whether we can call it secondary succession.",Secondary succession,Could any forest in the spring recovering from any winter be considered secondary succession?
"Since the p orbitals are perpendicular, it would be impossible to get all three in the necessary orientation at the same time to make three pi bonds. A maximum of two p orbitals can form pi bonds to the same atom.",Pi bond,Are there ever triple pi bonds?
"Intermolecular bonds break easier, but that does not mean first. Statistically, intermolecular bonds will break more often than covalent or ionic bonds. They can both break at the same time, it is just a matter of probability. Water, for example is always evaporating, even if not boiling. But, then, why no hydrogen or oxygen is observed as a product of pure water? Because water decomposes into H+ and OH- when the covalent bond breaks. The concentration of each of these ions in pure water, at 25 degree Celsius, and pressure of 1atm, is 1.0×10e−7mol/L... that is: covalent bonds are breaking all the time (self-ionization), just like intermolecular bonds (evaporation). By the way, that is what makes both pH and pOH of water equal 7. Note that even though H+ and OH- are naturally produced in water, they also recombine back into H2O. The speed of bonds breaking and the speed of recombination fight one another, until they are in chemical equilibrium, that is when both speeds are the same. For instance, this kind of fight also happens with evaporation inside a closed recipient. The equilibrium is reached when the number of molecules escaping from the liquid phase is the same as the number of molecules entering it.",Intermolecular force,Do intermolecular or intramolecular bonds break first?
"An atom may donate an electron and attain octet configuration or it may gain electron and attain octet configuration. It is also possible that the atom shares its electron(as in O2) and attain stability. The bond formed by donating or gaining electron is called ionic bond. The bond formed by sharing of electrons is called covalent bond Hope that helped. There are three types of bond. The nonpolar covalent bond is when the electrons are equally shared between the two atoms and don't have a preference. Then there is the polar covalent bond like in water, where the electrons are still shared between the two atoms but shows a preference to the more electronegative atom (oxygen), because oxygen simply has a stronger tendency to attract electrons than the hydrogen does. Finally, there is an ionic bond where the difference in electronegativity is so great that it is no longer sharing electrons. In the case of an ionic bond, chlorine steals an electron (or sodium loses an electron) because of the tendency to fill its valence shell to its full configuration for both atoms. All three bonds are equally possible for stability between the two atoms, but the ionic bond is the special bond that involves a complete transfer of electrons.",Electron,"Do the lose electrons, and form bonds because of their opposite charge?"
The bonds of the elements in fire have frequencies and the electrons in the atoms are changing orbital levels from high energy to lower energy levels while the matter is being oxidized thus creatinine a electro magnetic fields some of which (frequencies) are falling into the visual frequency range. The frequency range could be determined ed only if you knew what elements and how they are bonded.,Frequency,How to calculate the frequency of the fire?
"When you say same magnitude of velocity, that basically is speed. Instead of 180 degrees, if you turn 90 degrees and you continue at the same speed, same idea but easier to explain. Initially, before turning, you are going straight at 5 m/s for example. But then you suddenly turn right 90 degrees and continue at 5 m/s. Here speed has remained constant while velocity has changed. Velocity takes direction into account as well. So, after turning right, as we were initially taking forwards as the direction, velocity is 0. This is because you are not going forwards anymore, you turning left. This results in a change in velocity, hence causing acceleration. Here is an analogy which may help. You are in a 100m race, and the track is straight. Let's say you travel 50m in 5 seconds. That is 10m/s. But for some reason, you turn right and run at 10 m/s. But because you are going right, you are not surpassing 50m in the race. You are in the same place as someone standing still at the 50m mark. Therefore, your velocity is now 0m/s. The change from 10m/s to 0m/s is acceleration. (Deceleration to be more precise)",Acceleration,How does that give acceleration?
Straight-chain molecules have the ability to pack together more tightly which gives these molecules a higher melting point than other similar straight-chain molecules that are branched or have a kink (cis-double). The cis-double bond causes the molecule to not have the ability to stack or pack more tightly - causing a lower melting point.,Melting point,Why are alkanes' melting points like this?
"referring to the tight junctions between endothelial cells in the BBB, glucose and O2 get through because they are able to permeate through the endothelial cells. The cells have glucose transporters and co-transporters that use the driving force of sodium (and sometimes other ions) to help bring glucose into the cells",Glucose,How does the brain get the oxygen and glucose it needs?
"Every molecule can rotate. Some bonds can rotate, and some cannot. In a double bond between two atoms, the two atoms and the atoms that are _directly_ attached to them are rigidly fixed in the same plane. There is no rotation about the double bond. In a triple bond between two atoms, the two atoms and the atoms that are _directly_ attached to them are rigidly fixed in a straight line. The part of the moleculecannot cannot be bended out of its straight-line shape.",Molecule,In every case the molecule cannot rotate or flip?
"It is essential for life on Earth. Without that molten ball, the dynamo that powers Earth's magnetic field wouldn't work, which would expose Earth directly to the dangerous, radioactive solar wind. That would strip away most of Earth's atmosphere and sterilize most of the surface.",Earth,Does it affect the Existence of life on Earth?
"an air particle is not able to produce a compression of waves to generate a sonic boom. First of all, they change the direction many times per second... And like Matt B and Quantum Particle explained, an air particle is part of the medium itself. If it was a mental experiment, you could say that a tiny particle with a huge mass (and thus a huge density) can create a tiny sonic boom. But still there is the fact if some particle will be able to generate a compression... A compression is needed for the boom. Due to the size of the particle will it generate a compression or only hit in the particles? And what is the source of the sound? The particle will be able to disturb the air in such way that generates sound? even a particle with huge density will not be able to generate a sonic boom.",Sonic boom,Would air particles perform a tiny sonic boom?
"When the C-C bond breaks, the right hand carbon gets a positive charge. The lone pair from the O moves in to make a pi bond and neutralize the charge, but the O atom still has eight electrons in its valence shell.",Electron,Why would O donate its e- to carbon?
"Sound waves never reach your brain. They reach your eardrums, where they are converted to electrical signals, which then go to your brain. Whenever you are trying to figure out 'where did the energy go' and you can't seem to find it, the answer is usually 'heat'.",Sound,Where does the energy specifically transfers after the sound waves reaches our brain?
"Similar charges present in electrons of atoms repel each other. So, we don't fall through that empty space",Space,Why aren't we falling through all that empty space?
"It will protect both ketone groups, unless one of them is sterically hindered to attack by the protecting group.",Ketone,Which ketone does the protecting group protect?
"First of all the conversion of hydrogen to helium occurs deep inside a star not on the surface. Second, these reactions are nuclear and not chemical. It is the extreme temperatures in the sun that allow the fusion reactions to occur. Also at the temperature of the surface of the sun chemicals will be ripped apart and the atoms will be stripped of electrons becoming plasma.",Helium,Why do we see reactions occurring on the surface of the sun (hydrogen atoms coming together to make helium)?
"The chromatin structure in plants is fundamentally the same as that in animals, but modern clues have been found that may lead to the discovery of other-and perhaps quite significant-differences.",Chromatin,Does the chromatin of the cell have any significant change?
"the first stage would be the 'activation of amino acids'. Basically this step is before the initiation stage. During this activation of amino acids a specific amino acid and an ATP will bind to an enzyme called ""aminoacyl-tRNA synthesas"". The specific amino acid will bind the aminoacyl-tRNA synthesas where it will be activated by covalently binding with the ATP turning it into AMP during the process (releasing pyrophosphate). Then a tRNA will bind the aminoacyl-tRNA synthesas and it will covalently bind with the activated amino acid (releasing AMP). When the amino acid and the tRNA bind they will be released from the aminoacyl-tRNA synthesas and can then bind with the corresponding mRNA codon. So, when the tRNA leaves the E site is basically starts over the above process.",Transfer RNA,From where does tRNA get revived to continue its function in the future?
"They are the same amount of charge, but opposite sign. *Any* amount of positive charge is attracted to negative charge. If there is a pathway to get there, the charges will move. The path is provided by the inductor.",Electric charge,How if that still have positive charge go to the bottom plates?
"Maybe the Immune cells didn't have enough energy to fight the viruses so that was why more viruses were made. the virus took over the immune cell and instead of the cell reproducing itself, the virus hijacks the well factory and reproduces the virus instead, but the viruses squirt their genes into the reproducing factory and each time the immune cell reproduces, it take some HIV DNA or RNA with it",Virus,"Isn't the Immune cell supposed to get rid of the viruses, not make more?"
"The state of matter simply refers to how much energy they have. If they have little energy, they will be solid. If they have a lot of energy, they will be gases. Hydrogen will always remain as hydrogen throughout the states. pressure also affects the state of matter, which is why the inner core is solid despite being about 6000 degrees Celsius (10,800 degrees Fahrenheit), although different sources will give you different temperatures.",Hydrogen,"Why can elements, such as hydrogen, be three states of matter when its properties are the same?"
"This is an essential cycle that never stops until you die: ADP gets phosphorylated in the mitochondria, storing energy in ATP, and the ATP gets used to perform cellular work, releasing its energy in coupled reactions, and transforming back to ADP.",Adenosine diphosphate,Can ADP be used again to form back ATP?
there is no H. Ketones cannot be oxidized hence they cannot produce carboxylic acids. Thats why the Tollen's test is used to detect presence of aldehydes. Ketones can be oxidizedby very strong strong oxidizing agents like potassium permanganate solution.But in the process carbon-carbon bond will also be destroyed.,Carboxylic acid,Would it also produce a carboxylic acid?
"Secondary succession is when species recolonize the habitat. I do not think that during winter species are _wiped off_ the forest. they do change their behavior action and plant are hidden under the snow, but it does not mean they disappear. If you consider swallow migration to South and then returning to North in the spring, only in that case your definition can apply. Those are migrations and cyclic changes that happen every year regularly (under just one year span) so I am not sure whether we can call it secondary succession.",Secondary succession,Does secondary succession always have to occur?
"One of the big unsolved problems in fundamental physics. in the very beginning of the universe - near what we call the Big Bang - the universe was extremely hot and extremely dense, too hot and dense for matter to exist. There was a _lot_ of energy around. But since space was also expanding very quickly, this energy was rapidly cooling down and spreading out. Eventually (after less than a few seconds) it became cold enough to condense into normal matter, in a process we have called _baryogenesis_. The problem is that our current best theories of particle physics predict that all processes that create matter must also create an equal amount of anti-matter, which would then annihilate each other leaving only light. Since we see a lot of matter all around us, this clearly is not the case. For some unknown reason, there was a lot more matter than anti-matter created in the beginning, when the universe was cooling down. Finding a better theory of particle physics which can tell us why this is is currently the job of many of the worlds physicists.",Matter,How did matter come to be in the first place?
"Entropy is not energy; entropy is how the energy in the universe is distributed. There is a constant amount of energy in the universe, but the way it is distributed is always changing. When the way the energy is distributed changes from a less probable distribution (e.g. one particle has all the energy in the universe and the rest have none!) to a more probable distribution (e.g. most particles have an amount of energy close to the average)",Entropy,Then how does the entropy of the universe increase over time?
"When you titrate HCl against Na2CO3, the reaction proceeds in two steps. The first step involves the production of NaHCO3 and this step has an equivalence point of about pH 8.3, in the range covered by phenolphthalein. Hence, the phenolphthalein changes colour at this first equivalence point. As more acid is dripped in, the NaHCO3 reacts to liberate CO2. The equivalence point for this second step is pH 3.7. However, the phenolphthalein has already changed colour so you will not detect this second equivalence point when using phenolphthalein. The way around this is to use a different indicator, such as methyl orange, that doesn't change colour until the second equivalence point is reached, at which point the reaction has gone to completion.",Titration,Why doesn't a titration of HCL against Na2CO3 go to completion?
"Not all mutations are necessarily harmful. Mutation simply refers to a random, spontaneous change in the DNA, and while most of the mutant genes may not be viable, some are certainly viable. The whole trial-and-error nature of the process is why it takes insanely long amounts of time.",Mutation,How would mutations work?
"At the same time that vesicles pinch off of the ER, there are vesicles arriving at the ER, restoring its share of membrane. The net result is that it doesn't really change in size. Also cells can manufacture membrane phospholipids in the cytosol. This is important for cell growth so that eventually division is possible.",ER (TV series),Does the ER grow to keep up with how much of its membrane is lost?
"actually after the asteroid hit, it left behind some life giving cells forming another breed of pterosaurs that didn't survive very well because of how long it would take for them to adapt. So a new process of separation in flightless and hollow bones occurred with the birth of birds. Another thing about it is that the traces if pterosaurs and raptors were completely left behind where there came a part or section when birds attracted cell formation of hair more like mammals. That's why most or maybe all the birds in present day are mammals and have a warm blood system.",Bird,How could dinosaurs evolve into chickens and other birds we have nowadays?
"strong acid and bases giving 100% ionization in water has to do with equilibrium and reversible reactions. When an acid or base dissociates (or ionizes) in water, there's always the possibility of the reverse reaction, were the ions react to reform the not-dissociated acid or base. The amount an acid or base dissociates in water has to do with how much more one of these reactions is favored the forward reaction (the dissociation into ions), or the backward reaction (the ions reacting to form the original acid or base). Strong acids and bases almost overwhelmingly favor the forward reaction, because the resulting ions are relatively unreactive in aqueous solution.",Acid strength,Why do strong acid and bases give 100% ionization?
"Helium is a decay product of some isotopes. When those isotopes undergo alpha decay, their nucleus sheds two protons and two neutrons, producing the alpha particle.",Alpha particle,How would it lose both its electrons and become an alpha particle?
"A dipole is like a temporary polarity of a non polar molecule, but only last for nano seconds (hence why it can be called a dipole moment). It can happen because e-'s positions are represented by probability functions around the nucleus; at any given time, there can be more e- around one of the bonding atoms that the other because that's just the way it worked out. London Dispersion forces apply to all molecules always, so a dipole moment is not like it. It is as if it was a polar molecule, which it was, for a few nanoseconds before it becomes its usual non polar self",London dispersion force,Is it like a London dispersion force?
"At physiological pH, amino acids are in a zwitterionic form, which means that the carboxylic group has lost its proton and is negatively charged, and the amino group has gained a proton and is positively charged. At lower pH, the carboxylic acid regains its proton, and at higher pH the amino group loses its excess proton. Amino acids are mainly found joined together in polymers called peptides and proteins. The amino group of one amino acid reacts with the carboxylic acid group of another, with the elimination of water. When that happens, then the properties of the polymerised amino acids depends on the nature of their side chains, which can be non-polar, basic or acidic. When ethanol dissolves in water everything dissolves, not just the hydroxyl group - the molecule doesn't break up.a_vote",Ethanol,Does that make all of the ethanol molecule dissolve in water or just the group?
"Osmosis is the movement of water via a semipermeable membrane from a less concentrated solution to a more concentrated solution. A less concentrated solution has more water than a more concentrated solution. In essence, the water is moving down its concentration gradient from the less concentrated to the more concentrated solution to equalize the concentration on both sides of the semipermeable membrane.",Osmosis,"If osmosis is passive transport, shouldn't it go from high to low not low to high?"
"through cellular respiration one can make around 30-34 ATP. Which is a lot. 2 - 3 ATP is nothing for a multicellular organism like a plant. this only works for unicellular/extremely simple organisms, like yeast. In fact, humans undergo anaerobic respiration if unable to get oxygen. anaerobic respiration provides around 2 - 3 ATP.",Adenosine triphosphate,Why take the extra step to make carbohydrates into ATP again?
electrons fill up orbitals in the increasing order of energy. all three p orbitals are of the same energy so the second electron will rather go in the second orbital and have the same spin as the first one than go in the orbital where the first one is and have repulsing inverse spin. s orbital has smaller energy than p orbitals so it is more stable for electrons to have inverse spins in that lower energy state than for one electron to go into higher energy state,Atomic orbital,Does this only work for p orbitals and beyond?
"The enzyme would have no specificity and would create reactions indiscriminately. The enzyme can flex, but if you try to stretch it too far it breaks.",Enzyme,What prevents enzyme's active site from changing shape even further to accommodate any substrate?
"BH3 is violently reactive on its own, so THF is used to stabilize the molecule. The BH3 essentially accepts an electron pair from the THF to complete its octet and form a stable BH3-THF complex. Think of THF as a calming agent. As far as the others are concerned: NaOH serves to remove a proton from H2O2, making it HO2, a better nucleophile (conjugate bases are always stronger nucleophiles). HO2 then attacks the boron to complete the rearrangement reaction, and the O is ultimately protonated with H2O to form a neutral alcohol. Keto-enol tautomerism kicks in here and the (C=O) bond is highly favored.",Tetrahydrofuran,What is the purpose of THF and hydrogen peroxide in this reaction?
The addition of water is a slower step and so to catalyze the acid should be added. When people catalyze it with an acid the equilibrium is shifted towards the product more than the reactants.,Acid,What's the point of acid catalyzation?
"The *vapor pressure* is a property of the substance and is constant at a given temperature. It increases when temperature increases. The *boiling point* of a substance is the temperature at which the vapor pressure of the liquid equals the pressure surrounding the liquid. -If you create a vacuum over the liquid you decrease the pressure surrounding the liquid. As soon as it falls below the vapor pressure the liquid will start to boil (you do not have to increase the temperature)! -If you seal the container, the pressure over the liquid will always be the same as the vapor pressure. Thus no matter how much you heat your liquid in order to increase the vapor pressure it will never boil (provided you have a perfect seal and your container can withstand the pressure i.e. it doesn't blow up!). boiling point will increase if you seal the container.",Vapor pressure,What would happen? Would the vapor pressure increase?
"When we are buried in the ground... the bacteria and other de-composers break down our body into simpler chemical forms. which are then taken up by plants and then the cycle continues. Energy is also returned as the organism secretes or excretes during it's life. Exchanges are during all the organism life: Pooh, pee, sweat and respirations (secretions & excretions = give back to the ecosystem), and to eat (to lend energy and materials to the ecosystem). And death is only the final give back.",Energy,How is energy of human returned to other animals?
"Neutron emission is a common form of decay. it typically occurs in high neutron count isotopes, which don't occur very often in nature. Alpha radiation consists of 2x Neutrons and 2x Protons, e.g. a helium nucleus. So yes, a neutron can escape the nucleus - in the form of Alpha radiation.",Neutron,Can the neutron be kicked out of the nucleus?
"The digestive system is disrupted,  less nutrients will not get to the circulatory system. Blood will still be filtered in the kidneys and excreted.",Circulatory system,What happens to the circulatory and excretory systems?
"That's a good question and I don't think there is a clear cut answer. As you recognise, there are degrees of solubility and many substances are essentially insoluble yet still have a little bit of solubility. In fact, if a reaction is taking place in water, then that is because some ions have come away from the solid to engage in the reaction. But to answer your question, I think most of the time you would say that the substance was a solid if it was practically insoluble or only slightly soluble in water. Also, if a product precipitates out from a reaction then that would always be given a state symbol of solid. In some ways, it becomes clearer in ionic equations such as: AgCl (s) <---> Ag^+ (aq) + Cl^- (aq) This recognises that some of the silver chloride has dissolved, despite silver chloride being insoluble (the equilibrium will be well over to the left in this equation). Ions are always given the aqueous state symbol. At a professional level, chemists seldom include the state symbol when writing chemical equations so this question doesn't arise.",Aqueous solution,Or can salt be written as (aq)-- similar to weak acids and bases--if it dissociates very slightly?
":If people increase the initial height of the projectile, it will take longer to fall to the ground, so the impact time will be larger. If the projectile is in the air longer, it will have more time to travel horizontally. The horizontal displacement will be larger.",Displacement (ship),How does the height of a horizontal projectile impact the time and horizontal displacement?
"A conservative force (like gravity) only cares about the objects starting position and its ending position. When people say its independent, they mean that it does not rely on how people arrive at their final location. Displacement is people's final minus people's initial.",Force,How is the work done by the force independent?
"The molecule wishes to become more stable, which means to shift the double-bond to the oxygen; from that point, it's much easier to stabilize it. If you can't see the clues (example: an atom with lone pairs of electrons nearby a double bound) which tell you that there might be a resonance structure, you should go back and re-watch the video about Resonance Structures.",Resonance (chemistry),How are you supposed to know when to do a resonance structure?
"Homologous chromosomes are two different versions (as in A vs. a) of a chromosome with the same function. These chromosomes that he is pointing to just haven't replicated themselves into sister chromatids yet. Sister chromatids are two identical copies of the same chromosome, linked at the centromere (middle portion) immediately after replication. They're shown as the 'X' shapes in the next cell of the flowchart.",Homologous chromosome,Would two homologous chromosomes be 'sister chromatids'?
that single electron has greater chance of forming a bond (pi bond) if the orbital he is in isn't hybridized. paired electrons don't have to bond so their orbital gets hybridized (it lowers the total energy of the molecule),Electron,Why lone pairs of electrons have their own hybridized orbitals?
"In the case of human cells, and their hydrophilic exteriors, then no, they do not dissolve. if they _were_ to dissolve, then our skin would dissolve whenever we bathe or wash our hands, because it (our skin) is made up of cells that have membranes of hydrophilic molecules.",Hydrophile,Does hydrophilic dissolve in anything?
"The efficiency of the respiratory system is very very efficient. Imagine a system of pipes; one pulls the air, another transfers it. Since pipes are rounded and therefore 'closed' air cannot escape through the piping. Take for example your hand. Curl it, and blow through it. Almost none or if any air escapes, except through the other side. Because of this, the only path for the air to take is to the lungs. In which the lungs work/use the air and the entire cycle happens again. When a biological system is working many other dependent systems are working too.",Atmosphere of Earth,Does some air leak or escape?
"Two positive charges repel, pushing each other apart. The _magnitude_ of the repelling force is proportional to the product of the two charges. The forces don't cancel each other. Each charge feels the same force, but in opposite directions. Suppose you hold the two positive charges in either hand. If you push them closer together your hands will feel the repelling force. As long as you hold them still your muscles have to provide a corresponding force make them stay put. In that sense you are providing a balancing or cancelling force to the charges. If you let the charges go your balancing muscle force goes away and they fly off in opposite directions.",Electric charge,"If the positive charges were equal, would they not push each other and cancel?"
"Photons are, by nature, massless. That is why they are able to travel at the speed of light (C) and not just below it. Anything with mass cannot move at the speed of light. @kokocipher In answer to your question where does gravity ultimately come from, according to the General Theory of Relativity, the most widely accepted and most accurate theory used to explain our observations of gravity, gravity is the result of objects with mass bending space time. All objects bend spacetime, and more massive/dense objects bend it more steeply. That is they have a stronger gravitational pull. Since mass == energy (E=MC2)energy will indeed bend space time, if there is enough energy in a small enough space. However, consider the following. It requires the mass of an entire moon or planet to have an effect strong enough for you to feel. Since E=MC2 the amount of energy required to bend space the same amount (that is to have a gravitational influence that humans could detect without instruments) is unfathomable. If there's energy that dense it tends to collapse into matter. Indeed, this is what happens in our particle accelerators such as the LHC. As for black holes, they are locations in space where there is mass dense enough to bend spacetime so steeply that it would require movement faster than the speed of light to escape. Due to the nature of our Universe it is impossible to exceed the speed of light (I'm aware that sounds vague, but it would take a good hour to explain in more detail). Therefore, nothing, not even light, can escape.",Gravity,Do masses naturally have gravitational forces associated with them?
"We know because of the magnetic field. Theoretically, we can't prove the existence of the core of the earth but there is no other way that the magnetic field of the earth and other planets are possible. It even explains the lack of magnetic field for things like the moon or Mars. Everything in science is a theory. We have seismic data that suggests there is something very dense at the center of the earth. We know that the core gives off heat. It makes sense that the heaviest elements would go to the center of the planet as the planet formed.",Earth,What proof is available to support Earth (or any other planet in solar system) has a core?
"electron is itself a fundamental negative particle while protonic positive charge is due to presence of 3 quarks in it neutron also has 3 quarks but no charge. The electron is a subatomic particle that carries a negative electric charge. It has no known substructure and is believed to be a point particle Electrons participate in gravitational, electromagnetic and weak interactions. Like its rest mass and elementary charge, the intrinsic angular momentum (or spin) of an electron has a constant value. In the collision of an electron and a positron, the electron's antiparticle, both are annihilated. An electron-positron pair can be produced from gamma ray photons with sufficient energy.",Electron,What gives an electron a negative charge and what gives a proton a positive charge?
"You inhale much more oxygen than you actually use. Some of it goes to red blood cells swapping it for CO2, but most of the excess O2 is just exhaled. This is what allows CPR to work - there's still a lot of leftover oxygen in the exhaled air.",Oxygen,What becomes of the oxygen that had not been used up?
The furthest spot can only go as high as the solvent front of the mobile phase. the spots have to be somewhat soluble in the mobile phase. And the only reason the spots move is because they are dissolved and are pulled along as the mobile phase climbs. So the spots cannot travel faster than the mobile phase.,Elution,Is it possible for one of the spots to travel 'faster' than the mobile phase?
"The retinoblastoma protein prevents the cell from replicating if the DNA is damaged. so stops after the G1 phase (can not go from G1 to S). the cell tries to fix the DNA in order to continue but if the damage is irreparable, apoptosis will be triggered by caspases. ",DNA,What happens retinoblastoma when DNA is damaged?
"If there was an un-hybridized lone pair, then it would be in a p orbital. This would leave the bonding electrons in sp2 hybrid orbitals, which are involved in the N-H bond. However, according to VSEPR theory, these regions of electron density would like to place them selves as far as they can away from each other, or create the largest bond angle possible, which would be difficult due to the lone pair in a p orbital which orients it self perpendicular to the atom (90degrees). In other words, if all orbitals are hybrid orbitals, then the regions of electron density would be able to be as far apart as possible, creating a bond angle of around 107degrees.",Lone pair,Why do lone pairs of electrons form hybrid orbitals?
"Straight chain alkanes have higher boiling points because they have more surface area along their long unbranched shape (the increase in surface area allows inter-molecular forces to act on them and hold them together better). The way I'm understanding this is, with unbranched alkanes, when you're talking about breaking them completely apart (as opposed to just boiling them), are less stable - they release more energy when they are broken apart (higher heat of combustion).",Energy,"If less energy is needed to combust an isomer, wouldn't that mean it is less stable?"
"Mosses mostly reproduce by spores. As for gametogenesis, there are archegonia and antheridia, not ovum and spermatozoid. Bryophyte sperm is called antherozoid.",Egg cell,Does the sperm cell that fertilizes the egg cell differ genetically from the egg in the life cycle of mosses?
"The clouds keep our temperature regulated. If we didn't have clouds, it would be extremely hot at night and extremely cold at night. It would be both hot and cold (bit like the moon). When the planet faces the sun, It would be really hot and when it faces away from the sun, It would be really cold",Temperature,Would it become hotter or colder?
"There are some enzymes, which work in many pathways. They have relatively poor substrate specificity and this is important, because it's function requires it to do transform so many chemically different substrates into metabolites. Eg: The cytochrome p450 in liver, alcohol dehydrogenase. The former is a very important enzyme system, which plays a role in metabolising (a fancy term for acting upon) a wide variety of foreign substances, which include drugs and toxins. These reactions are the main mechanism of our body to fight drugs, and competitive inhibition is important here when we want to design drug therapies, because if we give two drugs both of which are acted upon by this enzyme, then they shall compete for its binding, and a result both will be metabolised slowly (in relation to if each was given independently). Alcohol dehydrogenase metabolises alcohols, and hence is the reason why methanol is poisonous. IT converts it into the more poisonous methanoic acid. For a patient of methanol poisoning, the main therapy includes giving ethanol, so that it acts as a competitive inhibitor, preventing methanol from forming the harmful metabolite. The more substrate-specific enzymes, do not usually have complications pertaining to competitive inhibitors.",Substrate (chemistry),Would be there to compete with the substrate or only limited amount of reactions suffer through this phenomenon?
